Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, bekant med offret;13 762 ; 565 ; 4 ; 130 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, bekant med offret, utomhus;4 394 ; 99 ; 2 ; 42 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, bekant med offret, inomhus;9 368 ; 466 ; 5 ; 89 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, obekant med offret;17 304 ;- 14 ;- 0 ; 164 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, obekant med offret, utomhus;11 825 ; 100 ; 1 ; 112 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre, obekant med offret, inomhus;5 479 ;- 114 ;- 2 ; 52 
3 kap. 7, 10 § BrB Vållande till annans död;Vållande till annans död, totalt; 342 ;- 14 ;- 4 ; 3 
3 kap. 7, 10 § BrB Vållande till annans död;I samband med trafikolycka; 118 ; 14 ; 13 ; 1 
3 kap. 7, 10 § BrB Vållande till annans död;I samband med arbetsolycka; 39 ;- 16 ;- 29 ; 0 
3 kap. 7, 10 § BrB Vållande till annans död;Övriga fall; 185 ;- 12 ;- 6 ; 2 
3 kap. 8, 10 § BrB Vållande till kroppskada eller sjukdom (inte i samband med trafikolycka);Vållande till kroppskada eller sjukdom, inte i samband med trafikolycka, totalt;3 922 ; 252 ; 7 ; 37 
3 kap. 8, 10 § BrB Vållande till kroppskada eller sjukdom (inte i samband med trafikolycka);I samband med arbetsolycka;1 784 ;- 97 ;- 5 ; 17 
3 kap. 8, 10 § BrB Vållande till kroppskada eller sjukdom (inte i samband med trafikolycka);Övriga fall;2 138 ; 349 ; 20 ; 20 
3 kap. 9, 10 § BrB Framkallande av fara för annan;Framkallande av fara för annan, totalt;1 003 ;- 69 ;- 6 ; 10 
3 kap. 9, 10 § BrB Framkallande av fara för annan;Som framkallats för arbetstagare; 113 ;- 17 ;- 13 ; 1 
3 kap. 9, 10 § BrB Framkallande av fara för annan;Övriga fall; 890 ;- 52 ;- 6 ; 8 
4 kap. Brott mot frihet och frid;Brott mot frihet och frid, totalt;175 305 ;9 832 ; 6 ;1 661 
4 kap. 1 § BrB Människorov ;Människorov, totalt; 471 ; 4 ; 1 ; 4 
4 kap. 1 a § BrB Människohandel;Människohandel, totalt; 184 ;- 42 ;- 19 ; 2 
4 kap. 1 a § BrB Människohandel;För sexuella ändamål ; 93 ;- 17 ;- 15 ; 1 
4 kap. 1 a § BrB Människohandel;För sexuella ändamål, med barn under 18 år; 10 ; 1 ; 11 ; 0 
4 kap. 1 a § BrB Människohandel;För sexuella ändamål , med person 18 år eller äldre; 83 ;- 18 ;- 18 ; 1 
4 kap. 1 a § BrB Människohandel;För tvångsarbete; 34 ;- 14 ;- 29 ; 0 
4 kap. 1 a § BrB Människohandel;För tvångsarbete, med barn under 18 år; 2 ; 1 ; 100 ; 0 
4 kap. 1 a § BrB Människohandel;För tvångsarbete, med person 18 år eller äldre; 32 ;- 15 ;- 32 ; 0 
4 kap. 1 a § BrB Människohandel;För tiggeri; 2 ; 1 ; 100 ; 0 
4 kap. 1 a § BrB Människohandel;För tiggeri, med barn under 18 år; 1 ; 1 ;. ; 0 
4 kap. 1 a § BrB Människohandel;För tiggeri, med person 18 år eller äldre; 1 ;- ;- ; 0 
4 kap. 1 a § BrB Människohandel;För organhandel;- ;- 1 ;- 100 ;- 
4 kap. 1 a § BrB Människohandel;För organhandel, med barn under 18 år;- ;- ;. ;- 
4 kap. 1 a § BrB Människohandel;För organhandel, med person 18 år eller äldre;- ;- 1 ;- 100 ;- 
4 kap. 1 a § BrB Människohandel;För krigstjänst;- ;- ;. ;- 
4 kap. 1 a § BrB Människohandel;För krigstjänst, med barn under 18 år;- ;- ;. ;- 
4 kap. 1 a § BrB Människohandel;För krigstjänst, med person 18 år eller äldre;- ;- ;. ;- 
4 kap. 1 a § BrB Människohandel;För övriga ändamål; 55 ;- 11 ;- 17 ; 1 
4 kap. 1 a § BrB Människohandel;För övriga ändamål, med barn under 18 år; 9 ;- 1 ;- 10 ; 0 
4 kap. 1 a § BrB Människohandel;För övriga ändamål, med person 18 år eller äldre; 46 ;- 10 ;- 18 ; 0 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;Människoexploatering, totalt; 160 ; 29 ; 22 ; 2 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tvångsarbete; 150 ; 26 ; 21 ; 1 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tvångsarbete, med barn under 18 år; 3 ;- 2 ;- 40 ; 0 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tvångsarbete, med person 18 år eller äldre; 147 ; 28 ; 24 ; 1 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tiggeri; 10 ; 3 ; 43 ; 0 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tiggeri, med barn under 18 år; 1 ;- 1 ;- 50 ; 0 
4 kap. 1 b § BrB Människoexploatering, inkl. grovt;För tiggeri, med person 18 år eller äldre; 9 ; 4 ; 80 ; 0 
4 kap. 2 § BrB Olaga frihetsberövande;Olaga frihetsberövande, totalt;1 587 ;- 54 ;- 3 ; 15 
4 kap. 2 § BrB Olaga frihetsberövande;Mot barn under 18 år; 510 ; 55 ; 12 ; 5 
4 kap. 2 § BrB Olaga frihetsberövande;Mot flicka under 18 år; 249 ; 25 ; 11 ; 2 
4 kap. 2 § BrB Olaga frihetsberövande;Mot pojke under 18 år; 261 ; 30 ; 13 ; 2 
4 kap. 2 § BrB Olaga frihetsberövande;Mot kvinna 18 år eller äldre; 718 ;- 54 ;- 7 ; 7 
4 kap. 2 § BrB Olaga frihetsberövande;Mot kvinna 18 år eller äldre, närstående genom parrelation; 354 ; 18 ; 5 ; 3 
4 kap. 2 § BrB Olaga frihetsberövande;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 62 ;- 10 ;- 14 ; 1 
4 kap. 2 § BrB Olaga frihetsberövande;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 160 ; 9 ; 6 ; 2 
4 kap. 2 § BrB Olaga frihetsberövande;Mot kvinna 18 år eller äldre, obekanta; 142 ;- 71 ;- 33 ; 1 
4 kap. 2 § BrB Olaga frihetsberövande;Mot man 18 år eller äldre; 359 ;- 55 ;- 13 ; 3 
4 kap. 2 § BrB Olaga frihetsberövande;Mot man 18 år eller äldre, närstående genom parrelation; 27 ; 5 ; 23 ; 0 
4 kap. 2 § BrB Olaga frihetsberövande;Mot man 18 år eller äldre, närstående genom släktskap/familj; 26 ;- 2 ;- 7 ; 0 
4 kap. 2 § BrB Olaga frihetsberövande;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 94 ;- 13 ;- 12 ; 1 
4 kap. 2 § BrB Olaga frihetsberövande;Mot man 18 år eller äldre, obekanta; 212 ;- 45 ;- 18 ; 2 
4 kap. 3 § BrB Barnfridsbrott;Barnfridsbrott, totalt;11 752 ;1 072 ; 10 ; 111 
4 kap. 3 § BrB Barnfridsbrott;Mot flicka under 18 år;5 862 ; 702 ; 14 ; 56 
4 kap. 3 § BrB Barnfridsbrott;Mot pojke under 18 år;5 890 ; 370 ; 7 ; 56 
4 kap 4 § BrB Olaga tvång;Olaga tvång, totalt;1 114 ;- 13 ;- 1 ; 11 
4 kap 4 § BrB Olaga tvång;Mot barn under 18 år; 416 ; 14 ; 3 ; 4 
4 kap 4 § BrB Olaga tvång;Mot flicka under 18 år; 154 ; 13 ; 9 ; 1 
4 kap 4 § BrB Olaga tvång;Mot pojke under 18 år; 262 ; 1 ; 0 ; 2 
4 kap 4 § BrB Olaga tvång;Mot kvinna 18 år eller äldre; 353 ;- 17 ;- 5 ; 3 
4 kap 4 § BrB Olaga tvång;Mot kvinna 18 år eller äldre, närstående genom parrelation; 154 ;- 8 ;- 5 ; 1 
4 kap 4 § BrB Olaga tvång;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 24 ; 5 ; 26 ; 0 
4 kap 4 § BrB Olaga tvång;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 90 ; 1 ; 1 ; 1 
4 kap 4 § BrB Olaga tvång;Mot kvinna 18 år eller äldre, obekanta; 85 ;- 15 ;- 15 ; 1 
4 kap 4 § BrB Olaga tvång;Mot man 18 år eller äldre; 345 ;- 10 ;- 3 ; 3 
4 kap 4 § BrB Olaga tvång;Mot man 18 år eller äldre, närstående genom parrelation; 20 ; 4 ; 25 ; 0 
4 kap 4 § BrB Olaga tvång;Mot man 18 år eller äldre, närstående genom släktskap/familj; 13 ;- 3 ;- 19 ; 0 
4 kap 4 § BrB Olaga tvång;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 120 ;- ;- ; 1 
4 kap 4 § BrB Olaga tvång;Mot man 18 år eller äldre, obekanta; 192 ;- 11 ;- 5 ; 2 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Grov fridskränkning, totalt; 813 ;- 142 ;- 15 ; 8 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot barn under 18 år; 598 ;- 153 ;- 20 ; 6 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot flicka under 18 år; 313 ;- 66 ;- 17 ; 3 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot pojke under 18 år; 285 ;- 87 ;- 23 ; 3 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot kvinna 18 år eller äldre; 131 ; 3 ; 2 ; 1 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot kvinna 18 år eller äldre, närstående genom parrelation; 94 ;- 1 ;- 1 ; 1 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 37 ; 4 ; 12 ; 0 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot man 18 år eller äldre; 84 ; 8 ; 11 ; 1 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot man 18 år eller äldre, närstående genom parrelation; 66 ; 6 ; 10 ; 1 
4 kap 4 a § 1 st. BrB Grov fridskränkning ;Mot man 18 år eller äldre, närstående genom släktskap/familj; 18 ; 2 ; 13 ; 0 
4 kap 4 a § 2 st. BrB Grov kvinnofridskränkning ;Grov kvinnofridskränkning, totalt;1 040 ;- 79 ;- 7 ; 10 
4 kap 4 b § BrB Olaga förföljelse;Olaga förföljelse, totalt; 560 ; 37 ; 7 ; 5 
4 kap 4 b § BrB Olaga förföljelse;Mot barn under 18 år; 26 ;- 3 ;- 10 ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot flicka under 18 år; 17 ;- 3 ;- 15 ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot pojke under 18 år; 9 ;- ;- ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot kvinna 18 år eller äldre; 387 ; 30 ; 8 ; 4 
4 kap 4 b § BrB Olaga förföljelse;Mot kvinna 18 år eller äldre, närstående genom parrelation; 172 ; 35 ; 26 ; 2 
4 kap 4 b § BrB Olaga förföljelse;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 17 ;- 3 ;- 15 ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 118 ; 19 ; 19 ; 1 
4 kap 4 b § BrB Olaga förföljelse;Mot kvinna 18 år eller äldre, obekanta; 80 ;- 21 ;- 21 ; 1 
4 kap 4 b § BrB Olaga förföljelse;Mot man 18 år eller äldre; 147 ; 10 ; 7 ; 1 
4 kap 4 b § BrB Olaga förföljelse;Mot man 18 år eller äldre, närstående genom parrelation; 28 ; 2 ; 8 ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot man 18 år eller äldre, närstående genom släktskap/familj; 13 ; 7 ; 117 ; 0 
4 kap 4 b § BrB Olaga förföljelse;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 59 ; 6 ; 11 ; 1 
4 kap 4 b § BrB Olaga förföljelse;Mot man 18 år eller äldre, obekanta; 47 ;- 5 ;- 10 ; 0 
4 kap 4 c § BrB Äktenskapstvång;Äktenskapstvång; 33 ; 5 ; 18 ; 0 
4 kap 4 c § 3 st. BrB Barnäktenskapsbrott;Barnäktenskapsbrott ; 46 ;- 9 ;- 16 ; 0 
4 kap 4 d § BrB Vilseledande till äktenskapsresa;Vilseledande till äktenskapsresa ; 9 ;- 4 ;- 31 ; 0 
4 kap. 4 e § BrB Hedersförtryck;Hedersförtryck, totalt; 54 ;- 20 ;- 27 ; 1 
4 kap. 4 e § BrB Hedersförtryck;Mot barn under 18 år; 31 ;- 5 ;- 14 ; 0 
4 kap. 4 e § BrB Hedersförtryck;Mot flicka under 18 år; 27 ;- 7 ;- 21 ; 0 
4 kap. 4 e § BrB Hedersförtryck;Mot pojke under 18 år; 4 ; 2 ; 100 ; 0 
4 kap. 4 e § BrB Hedersförtryck;Mot kvinna 18 år eller äldre; 22 ;- 11 ;- 33 ; 0 
4 kap. 4 e § BrB Hedersförtryck;Mot man 18 år eller äldre; 1 ;- 4 ;- 80 ; 0 
4 kap. 5 § BrB Olaga hot;Olaga hot, totalt;50 438 ; 247 ; 0 ; 478 
4 kap. 5 § BrB Olaga hot;Mot barn under 18 år;8 241 ; 285 ; 4 ; 78 
4 kap. 5 § BrB Olaga hot;Mot flicka under 18 år;3 567 ; 221 ; 7 ; 34 
