Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Romansbedrägeri, totalt;1 403 ; 90 ; 7 ; 13 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Romansbedrägeri mot äldre eller funktionsnedsatt; 655 ; 127 ; 24 ; 6 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Romansbedrägeri ej mot äldre eller funktionsnedsatt; 748 ;- 37 ;- 5 ; 7 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Investeringsbedrägeri, totalt;3 286 ;- 670 ;- 17 ; 31 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Investeringsbedrägeri mot äldre/funktionsnedsatt;1 170 ; 3 ; 0 ; 11 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Investeringsbedrägeri ej mot äldre/funktionsnedsatt;2 116 ;- 673 ;- 24 ; 20 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Befogenhetsbedrägeri, totalt;13 803 ;1 492 ; 12 ; 131 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Befogenhetsbedrägeri mot äldre/funktionsnedsatt;8 776 ; 516 ; 6 ; 83 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Befogenhetsbedrägeri ej mot äldre/funktionsnedsatt;5 027 ; 976 ; 24 ; 48 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Genom social manipulation av  annan typ, totalt;29 628 ;- 258 ;- 1 ; 281 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Genom social manipulation av  annan typ mot äldre/funktionsnedsatt;16 188 ;- 508 ;- 3 ; 153 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Genom social manipulation av  annan typ ej mot äldre/funktionsnedsatt;13 440 ; 250 ; 2 ; 127 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Identitetsbedrägeri, totalt;9 849 ;- 741 ;- 7 ; 93 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Identitetsbedrägeri mot äldre/funktionsnedsatt;2 030 ; 94 ; 5 ; 19 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Identitetsbedrägeri ej mot äldre/funktionsnedsatt;7 819 ;- 835 ;- 10 ; 74 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Fakturabedrägeri, totalt;9 985 ;1 880 ; 23 ; 95 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Fakturabedrägeri mot äldre/funktionsnedsatt;2 939 ; 835 ; 40 ; 28 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Fakturabedrägeri ej mot äldre/funktionsnedsatt;7 046 ;1 045 ; 17 ; 67 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Kortbedrägeri (bank, betal- och kreditkort), totalt;97 258 ;-5 751 ;- 6 ; 922 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Kortbedrägeri med fysiskt kort, totalt;11 813 ;-2 347 ;- 17 ; 112 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Kortbedrägeri med fysiskt kort mot äldre/funktionsnedsatt;2 618 ;- 369 ;- 12 ; 25 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Kortbedrägeri med fysiskt kort ej mot äldre/funktionsnedsatt;9 195 ;-1 978 ;- 18 ; 87 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Kortbedrägeri utan fysiskt kort, totalt;85 445 ;-3 404 ;- 4 ; 810 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Annonsbedrägeri, totalt;24 608 ;-2 465 ;- 9 ; 233 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Annonsbedrägeri mot äldre/funktionsnedsatt;1 779 ; 266 ; 18 ; 17 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Annonsbedrägeri, ej mot äldre/funktionsnedsatt;22 829 ;-2 731 ;- 11 ; 216 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Försäkringsbedrägeri; 633 ;- 32 ;- 5 ; 6 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Lönegarantibedrägeri; 44 ;. ;. ; 0 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Bedrägeri mot EU:s finansiella intressen; 6 ;. ;. ; 0 
9 kap. 2 § 2 st. BrB Bedrägeri, ringa;Snyltningsbrott; 578 ;- 46 ;- 7 ; 5 
9 kap. 3 a § BrB Grovt fordringsbedrägeri ;Grovt fordringsbedrägeri; 6 ;- 6 ;- 50 ; 0 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Övrigt bedrägeri, totalt;22 753 ;-1 398 ;- 6 ; 216 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Övrigt bedrägeri mot äldre/funktionsnedsatt;5 904 ;- 253 ;- 4 ; 56 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Övrigt bedrägeri ej mot äldre/funktionsnedsatt;16 849 ;-1 145 ;- 6 ; 160 
9 kap. 3 b § BrB Subventionsmissbruk ;Subventionsmissbruk, totalt;- ;- 1 ;- 100 ;- 
9 kap. 3 c § BrB Olovlig befattning med betalningsverktyg;Olovlig befattning med betalningsverktyg, totalt; 395 ;- 22 ;- 5 ; 4 
9 kap. 4 § BrB Utpressning ;Utpressning, totalt;8 707 ;- 257 ;- 3 ; 83 
9 kap. 5 § BrB Ocker ;Ocker, totalt; 63 ; 15 ; 31 ; 1 
9 kap. 6, 7 § BrB Häleri, häleriförseelse ;Häleri, häleriförseelse, totalt;6 233 ; 148 ; 2 ; 59 
9 kap. 6 § BrB Häleri, häleriförseelse, inkl. grovt;Häleri;2 276 ; 108 ; 5 ; 22 
9 kap. 7 § BrB Häleri, häleriförseelse ;Häleriförseelse;3 957 ; 40 ; 1 ; 38 
9 kap. 8-10 § Oredligt förfarande, svindleri, ockerpantning ;Oredligt förfarande, svindleri, ockerpantning, totalt; 504 ; 28 ; 6 ; 5 
10 kap. BrB Förskingring och annan trolöshet;Förskingring och annan trolöshet, totalt;13 550 ; 590 ; 5 ; 128 
10 kap. 1-3 § BrB Förskingring, grov förskingring, undandräkt;Förskingring, undandräkt, totalt;1 202 ;- 211 ;- 15 ; 11 
10 kap. 4 § BrB Olovligt förfogande;Olovligt förfogande, totalt;9 593 ; 417 ; 5 ; 91 
10 kap. 5 § BrB Trolöshet mot huvudman ;Trolöshet mot huvudman, totalt;1 254 ; 510 ; 69 ; 12 
10 kap. 5 a, 5 c § BrB Tagande av muta inkl. grov ;Tagande av muta; 70 ;- 40 ;- 36 ; 1 
10 kap. 5 b, 5 c § BrB Givande av muta inkl. grov;Givande av muta; 65 ;- 75 ;- 54 ; 1 
10 kap. 5 d, 5 e § BrB Handel med inflytande och/eller vårdslös finansiering av mutbrott ;Handel med inflytande och/eller vårdslös finansiering av mutbrott ; 9 ; 1 ; 13 ; 0 
10 kap. 7 § BrB Olovligt brukande ;Olovligt brukande, totalt;1 122 ;- 43 ;- 4 ; 11 
10 kap. 8 § BrB Fyndförseelse;Fyndförseelse, totalt; 152 ; 27 ; 22 ; 1 
10 kap. 6 § BrB Behörighetsmissbruk;Behörighetsmissbruk, totalt; 83 ; 4 ; 5 ; 1 
11 kap. BrB Brott mot borgenärer m.m.;Brott mot borgenärer m.m., totalt;21 763 ;4 900 ; 29 ; 206 
11 kap. 1 § BrB Oredlighet mot borgenärer;Oredlighet mot borgenärer; 492 ; 130 ; 36 ; 5 
11 kap. 2 § BrB Försvårande av konkurs eller exekutiv förrättning ;Försvårande av konkurs eller exekutiv förrättning ; 32 ; 15 ; 88 ; 0 
11 kap. 3  § BrB Vårdslöshet mot borgenärer;Vårdslöshet mot borgenärer; 44 ; 16 ; 57 ; 0 
11 kap. 4 § BrB Otillbörligt gynnande av borgenär;Otillbörligt gynnande av borgenär; 64 ; 15 ; 31 ; 1 
11 kap. 5 § BrB Bokföringsbrott;Bokföringsbrott ;21 131 ;4 724 ; 29 ; 200 
12 kap. BrB Skadegörelsebrott;Skadegörelsebrott, totalt;198 810 ;-19 773 ;- 9 ;1 884 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Skadegörelse, åverkan, totalt;198 775 ;-19 782 ;- 9 ;1 884 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Genom brand (även på motorfordon), totalt;3 910 ;- 690 ;- 15 ; 37 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Bilbrand eller brand på andra motorfordon;1 568 ;- 245 ;- 14 ; 15 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Brand på annat än motorfordon;2 342 ;- 445 ;- 16 ; 22 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;På motorfordon (inte genom brand);27 188 ;-1 208 ;- 4 ; 258 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Klotter mot kollektivtrafik;38 193 ;3 308 ; 9 ; 362 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Övrigt klotter, ej mot kollektivtrafik;35 077 ;-18 744 ;- 35 ; 332 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Mot stat, region (landsting), kommun, (ej klotter);58 903 ;1 617 ; 3 ; 558 
12 kap. 1-3 § BrB Skadegörelse, grov skadegörelse, åverkan ;Annan skadegörelse (ej klotter);35 504 ;-4 065 ;- 10 ; 336 
12 kap. 4 § BrB Tagande av olovlig väg;Tagande av olovlig väg ; 35 ; 9 ; 35 ; 0 
13-15 kap. BrB Brott mot allmänheten;Brott mot allmänheten, totalt;16 152 ; 527 ; 3 ; 153 
13 kap. BrB Allmänfarliga brott;Allmänfarliga brott, totalt;4 232 ;- 808 ;- 16 ; 40 
13 kap 1, 2 § BrB Mordbrand inkl. grov;Mordbrand;1 065 ;- 345 ;- 24 ; 10 
13 kap 3 § BrB Allmänfarlig ödeläggelse inkl. grovt;Allmänfarlig ödeläggelse, totalt; 406 ;- 13 ;- 3 ; 4 
13 kap 3 § BrB Allmänfarlig ödeläggelse inkl. grovt;Genom sprängning; 368 ;- 20 ;- 5 ; 3 
13 kap 3 § BrB Allmänfarlig ödeläggelse inkl. grovt;Genom sprängning, fullbordat brott; 152 ;- 4 ;- 3 ; 1 
13 kap 3 § BrB Allmänfarlig ödeläggelse inkl. grovt;Genom sprängning, försök med mera till brott; 216 ;- 16 ;- 7 ; 2 
13 kap 3 § BrB Allmänfarlig ödeläggelse inkl. grovt;Ej genom sprängning; 38 ; 7 ; 23 ; 0 
13 kap 5 c § BrB Sabotage mot blåljusverksamhet inkl. grovt ;Sabotage mot blåljusverksamhet, totalt; 279 ;- 78 ;- 22 ; 3 
13 kap. 6 § BrB Allmänfarlig vårdslöshet;Allmänfarlig vårdslöshet, totalt;2 099 ;- 398 ;- 16 ; 20 
13 kap. 6 § BrB Allmänfarlig vårdslöshet;Vållande av brand;1 790 ;- 356 ;- 17 ; 17 
13 kap. 6 § BrB Allmänfarlig vårdslöshet;Annan allmänfarlig vårdslöshet; 309 ;- 42 ;- 12 ; 3 
13 kap. 7-9 § BrB Spridande av gift eller smitta förgöring, vårdslöshet med gift eller smittämne ;Spridande av gift eller smitta förgöring, vårdslöshet med gift eller smittämne, totalt; 102 ;- 21 ;- 17 ; 1 
13 kap. 3-5 b, 10 Övriga brott mot 13 kap.;Övriga brott mot 13 kap.; 281 ; 47 ; 20 ; 3 
14 kap. BrB Förfalskningsbrott;Förfalskningsbrott, totalt;6 616 ; 459 ; 7 ; 63 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Urkundsförfalskning m.m., totalt;4 168 ; 116 ; 3 ; 40 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Check; 2 ;- 1 ;- 33 ; 0 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Legitimationshandling; 848 ;- 46 ;- 5 ; 8 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Handling som  använts för illegal invandring (pass, resedokument, uppehållstillstånd m.m.); 221 ;- 56 ;- 20 ; 2 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Övrig legitimationshandling; 627 ; 10 ; 2 ; 6 
14 kap. 1-4, 10 § BrB Urkundsförfalskning m.m.;Övrig urkundsförfalskning;3 318 ; 163 ; 5 ; 31 
14 kap. 5, 10 § BrB Signaturförfalskning;Signaturförfalskning, totalt; 32 ;- 4 ;- 11 ; 0 
14 kap. 6, 7, 10, 11 § BrB Penningförfalskning m.m. ;Penningförfalskning m.m., totalt;1 542 ; 408 ; 36 ; 15 
14 kap. 8-11 § BrB Övriga brott;Övriga brott mot 14 kap.; 874 ;- 61 ;- 7 ; 8 
15 kap. Mened, falskt åtal m.m.;15 kap. Mened, falskt åtal m.m. totalt;5 304 ; 876 ; 20 ; 50 
15 kap. 1-3 § BrB Mened, osann partsutsaga m.m.;Mened, osann partsutsaga m.m., totalt; 273 ;- 5 ;- 2 ; 3 
15 kap. 7 § BrB Falsk tillvitelse, vårdslös tillvitelse;Falsk tillvitelse, vårdslös tillvitelse, totalt;3 024 ; 685 ; 29 ; 29 
15 kap. 11, 12 § BrB Osant intygande, brukande av osann urkund;Missbruk av urkund avs. pass och övr. resedokument samt utfärdat pass på falska grunder, totalt; 550 ; 4 ; 1 ; 5 
15 kap. 4 a, 4 b, 5, 6, 8-13 § BrB Övriga brott;Övriga brott mot 15 kap.;1 457 ; 192 ; 15 ; 14 
16-20 kap. BrB Brott mot staten;Brott mot staten, totalt;46 361 ;-6 298 ;- 12 ; 439 
16 kap. BrB Brott mot allmän ordning;Brott mot allmän ordning, totalt;10 920 ;-8 805 ;- 45 ; 103 
16 kap. 5 a § BrB Involverande av en underårig i brottslighet ;Involverande av en underårig i brottslighet, totalt; 420 ;. ;. ; 4 
16 kap. 15 § 1, 2 st. BrB Falskt larm;Falskt larm, totalt; 891 ; 180 ; 25 ; 8 
16 kap. 15 § 3 st. BrB Missbruk av larmanordning;Missbruk av larmanordning, totalt; 127 ;- 11 ;- 8 ; 1 
16 kap. 8 § BrB Hets mot folkgrupp;Hets mot folkgrupp, totalt; 995 ; 53 ; 6 ; 9 
16 kap. 9 § BrB Olaga diskriminering;Olaga diskriminering, totalt; 66 ; 3 ; 5 ; 1 
16 kap. 10 a § BrB Barnpornografibrott ;Barnpornografibrott, totalt;5 969 ;-9 827 ;- 62 ; 57 
16 kap. 13 § BrB Djurplågeri ;Djurplågeri, totalt;1 915 ; 355 ; 23 ; 18 
16 kap. 1-6, 10-14 § BrB Övriga brott ;Övriga brott mot 16 kap. ; 537 ; 128 ; 31 ; 5 
17 kap. BrB Brott mot allmän verksamhet;Brott mot allmän verksamhet, totalt;24 364 ; 272 ; 1 ; 231 
17 kap. 1, 5 § BrB Våld mot tjänsteman o.d.;Våld mot tjänsteman, totalt;3 605 ;- 244 ;- 6 ; 34 
17 kap. 1 § BrB Våld mot tjänsteman;Mot polis;1 133 ;- 103 ;- 8 ; 11 
17 kap. 1 § BrB Våld mot tjänsteman;Mot ordningsvakt ;1 045 ;- 194 ;- 16 ; 10 
17 kap. 1, 5 § BrB Våld mot tjänsteman o.d.;Mot annan person;1 427 ; 53 ; 4 ; 14 
17 kap. 1, 5 § BrB Hot m.m. mot tjänsteman o.d.;Hot m.m. mot tjänsteman o.d.;6 250 ;- 101 ;- 2 ; 59 
17 kap. 4, 5 § BrB Våldsamt motstånd;Våldsamt motstånd, totalt;4 578 ;- 135 ;- 3 ; 43 
17 kap. 10 § BrB Övergrepp i rättssak;Övergrepp i rättssak, totalt;4 516 ;- 75 ;- 2 ; 43 
17 kap. BrB 8, 9, 11-13, 15 § Övriga brott;Övriga brott mot 17 kap.;5 415 ; 827 ; 18 ; 51 
18 kap. BrB Högmålsbrott;Högmålsbrott, totalt; 3 ;- 7 ;- 70 ; 0 
19 kap. BrB Brott mot rikets säkerhet;Brott mot rikets säkerhet, totalt; 9 ;- 4 ;- 31 ; 0 
20 kap. BrB Tjänstefel m.m.;Tjänstefel m.m. totalt;11 065 ;2 246 ; 25 ; 105 
20 kap. 1 § BrB Tjänstefel inkl.grovt ;Tjänstefel;10 617 ;2 137 ; 25 ; 101 
20 kap. 3 § BrB Brott mot tystnadsplikt;Brott mot tystnadsplikt; 448 ; 109 ; 32 ; 4 
22 kap. BrB Om landsförräderi m.m.;Om landsförräderi m.m. totalt; 31 ; 17 ; 121 ; 0 
Brott mot specialstraffrättsliga författningar;Brott mot specialstraffrättsliga författningar, totalt;295 214 ;22 804 ; 8 ;2 798 
Lag (1951:649) om straff för vissa trafikbrott;Trafikbrottslagen, totalt;63 392 ;-2 011 ;- 3 ; 601 
1 § 2 st. TBL Grov vårdslöshet i trafik ;Grov vårdslöshet i trafik, totalt; 909 ;- 19 ;- 2 ; 9 
3 § 1 st. TBL Olovlig  körning, grov olovlig körning ;Olovlig  körning, totalt;17 730 ;-1 484 ;- 8 ; 168 
4, 4 a § TBL Rattfylleri inkl. grovt;Rattfylleri, alkoholpåverkan inkl. både alkohol och narkotika;10 452 ;- 100 ;- 1 ; 99 
4 § 2 st., 4 a § TBL Rattfylleri inkl. grovt;Rattfylleri, enbart påverkan av narkotika;12 157 ;- 447 ;- 4 ; 115 
5 § TBL Smitning, trafikolycka;Smitning, trafikolycka, totalt;21 083 ; 40 ; 0 ; 200 
5 § TBL Smitning, trafikolycka;Med betydande materialskador, personskador eller dödligt utfall;1 310 ;- 77 ;- 6 ; 12 
5 § TBL Smitning, trafikolycka;Med inga eller lindriga material- och personskador;19 773 ; 117 ; 1 ; 187 
3 § 2 och 3 st. TBL Övriga brott ;Övriga brott mot trafikbrottslagen;1 061 ;- 1 ;- 0 ; 10 
Narkotikastrafflag (1968:64);Narkotikastrafflagen, totalt;129 595 ;18 399 ; 17 ;1 228 
1-3 a § NSL Narkotikabrott inkl. grovt, vårdslöshet med narkotika;Överlåtelse m.m. ;7 634 ;-1 168 ;- 13 ; 72 
1-3 § NSL Narkotikabrott inkl. grovt;Innehav ;77 473 ;19 521 ; 34 ; 734 
1-3 § NSL Narkotikabrott inkl. grovt;Eget bruk;44 125 ; 18 ; 0 ; 418 
1-3 § NSL Narkotikabrott inkl. grovt;Framställning; 363 ; 28 ; 8 ; 3 
Miljöbalken (1998:808);Miljöbalken, totalt;5 413 ; 941 ; 21 ; 51 
29 kap. 1 § MB Miljöbrott inkl. grovt;Miljöbrott;1 258 ; 190 ; 18 ; 12 
29 kap. 2, 2 a § MB Brott eller förseelse mot områdesskydd ;Brott eller förseelse mot områdesskydd; 493 ; 19 ; 4 ; 5 
29 kap. 2 b § MB Artskydd inkl grovt ;Artskydd; 167 ;- 10 ;- 6 ; 2 
29 kap. 2 c § MB Otillåten hantering av invasiv främmande art;Otillåten hantering av invasiv främmande art ; 2 ;- ;- ; 0 
29 kap. 3, 3 a § MB Miljöfarlig eller olovlig kemikaliehantering ;Miljöfarlig eller olovlig kemikaliehantering ; 342 ; 161 ; 89 ; 3 
29 kap. 1 § MB Otillåten miljöverksamhet;Otillåten miljöverksamhet ; 922 ; 56 ; 6 ; 9 
29 kap. 4 a § 1–15 p MB Otillåten avfallstransport;Otillåten avfallstransport ; 194 ; 109 ; 128 ; 2 
29 kap. 5 § MB Försvårande av miljökontroll;Försvårande av miljökontroll ; 84 ;- 8 ;- 9 ; 1 
29 kap. 6 § MB Bristfällig miljöinformation;Bristfällig miljöinformation; 82 ; 5 ; 6 ; 1 
29 kap. 7 § MB Nedskräpning;Nedskräpning;1 791 ; 414 ; 30 ; 17 
29 kap. 8 § MB Övriga brott mot miljöbalken;Övriga brott mot miljöbalken ; 78 ; 5 ; 7 ; 1 
Skattebrottslag (1971:69);Skattebrottslagen, totalt ;5 650 ;-1 862 ;- 25 ; 54 
SBL 2, 3 § Skattebrott, skatteförseelse;Skattebrott, skatteförseelse, totalt;2 691 ;. ;. ; 26 
SBL 4 § Grovt skattebrott;Grovt skattebrott, totalt;1 136 ;. ;. ; 11 
SBL 5 § Vårdslös skatteuppgift ;Vårdslös skatteuppgift; 7 ;- 19 ;- 73 ; 0 
SBL 6 § Skatteavdragsbrott ;Skatteavdragsbrott; 233 ; 158 ; 211 ; 2 
SBL 7, 8 § Skatteredovisningsbrott, vårdslös skatteredovisning ;Skatteredovisningsbrott, vårdslös skatteredovisning ; 57 ;- 26 ;- 31 ; 1 
SBL 10 § Försvårande av skattekontroll;Försvårande av skattekontroll ;1 526 ;- 253 ;- 14 ; 14 
Lag (1986:436) om näringsförbud, 47 §;Överträdelse av lagen om näringsförbud; 110 ; 41 ; 59 ; 1 
Aktiebolagslag (2005:551);Aktiebolagslagen, totalt; 505 ; 115 ; 29 ; 5 
ABL 30 kap. 1 § 2 st. 2 p. Underlåtenhet att föra/hålla aktiebok tillgänglig ;Underlåtenhet att föra/hålla aktiebok tillgänglig; 12 ;- 10 ;- 45 ; 0 
ABL 30 kap. 1 § 1 st. 4 p. Brott mot låneförbud m.m. ;Brott mot låneförbud m.m. ; 175 ; 4 ; 2 ; 2 
ABL 30 kap. 1 § 3 st. Brott mot bulvan/målvaktsbestämmelser ;Brott mot bulvan/målvaktsbestämmelser ; 307 ; 124 ; 68 ; 3 
ABL 30 kap. 1 § 1 st. 1 p., 3 p. och 2 § Övriga brott ;Övriga brott mot aktiebolagslagen ; 11 ;- 3 ;- 21 ; 0 
Lag (2016:1307) om straff för marknadsmissbruk på värdepappersmarknaden;Lag om straff för marknadsmissbruk m.m, totalt; 402 ; 167 ; 71 ; 4 
Lag 2016:1307 2 kap. 2-4, 7 § Insiderbrott m.m.;Insiderbrott m.m.; 351 ; 204 ; 139 ; 3 
Lag 2016:1307 2 kap.3 § Obehörigt röjande av insiderinformation ;Obehörigt röjande av insiderinformation; 1 ;- 1 ;- 50 ; 0 
Lag 2016:1307 2 kap.4, 7 § Marknadsmanipulation, inkl. grov;Marknadsmanipulation; 50 ;- 36 ;- 42 ; 0 
Lag (2014:307) om straff för penningtvättsbrott;Penningtvättsbrott, totalt;17 491 ; 80 ; 0 ; 166 
Lag 2014:307, 3-4 § Penningtvättsbrott ;Penningtvättsbrott ;15 193 ;- 222 ;- 1 ; 144 
Lag 2014:307, 5 § Penningtvättsbrott, grovt brott;Penningtvättsbrott; 782 ;- 73 ;- 9 ; 7 
Lag 2014:307, 6 § Penningtvättsförseelse ;Penningtvättsförseelse; 258 ; 3 ; 1 ; 2 
Lag 2014:307, 7 § 1-3 st Näringspenningtvätt;Näringspenningtvätt ;1 258 ; 372 ; 42 ; 12 
Bidragsbrottslag (2007:612);Bidragsbrottslagen, totalt;20 597 ; 242 ; 1 ; 195 
Lag 2007:612, 2-4 § Bidragsbrottslag;Mot Försäkringskassan;12 899 ;- 792 ;- 6 ; 122 
Lag 2007:612, 2-4 § Bidragsbrottslag;Mot kommunerna;1 174 ; 22 ; 2 ; 11 
Lag 2007:612, 2-4 § Bidragsbrottslag;Mot a-kassorna och Arbetsförmedlingen;4 261 ; 292 ; 7 ; 40 
Lag 2007:612, 2-4 § Bidragsbrottslag;Mot PPM, CSN och Migrationsverket;2 263 ; 720 ; 47 ; 21 
Lag (2000:1225) om straff för smuggling;Smugglingslagen, totalt;6 793 ;. ;. ; 64 
Lag (2000:1225) 3-5, 7, 14 § Smugglingsbrott och olovlig in- och utförsel;Smugglingsbrott och olovlig in- och utförsel, ej narkotika;1 785 ;. ;. ; 17 
Lag (2000:1225) 6, 7, 14 § Narkotikasmuggling och olovlig in- och utförsel av narkotika ;Narkotikasmuggling och olovlig in- och utförsel av narkotika ;4 140 ;. ;. ; 39 
Lag (2000:1225)6 a, 7 , 14 § Vapensmuggling, olovlig in- och utförsel;Vapensmuggling, olovlig in- och utförsel; 409 ;. ;. ; 4 
Lag (2000:1225)6 a, 7 , 14 § Vapensmuggling, olovlig in- och utförsel;Av pistol, revolver eller start-, signal- och tårgasvapen; 231 ;. ;. ; 2 
Lag (2000:1225)6 a, 7 , 14 § Vapensmuggling, olovlig in- och utförsel;Av automatvapen (inkl. kulsprutepistol) ; 9 ;. ;. ; 0 
Lag (2000:1225)6 a, 7 , 14 § Vapensmuggling, olovlig in- och utförsel;Av jaktvapen ; 7 ;. ;. ; 0 
Lag (2000:1225)6 a, 7 , 14 § Vapensmuggling, olovlig in- och utförsel;Av annat vapen ; 160 ;. ;. ; 2 
Lag (2000:1225) 6 b, 7, 14 § Smuggling av explosiv vara, olovlig in- och utförsel;Smuggling av explosiv vara, olovlig in- och utförsel; 102 ;. ;. ; 1 
Lag (2000:1225) 8-11, 14 § Tullbrott och vårdslös tullredovisning ;Tullbrott och vårdslös tullredovisning; 269 ;. ;. ; 3 
Lag (2000:1225) 12-14 § Olovlig befattning med smuggelgods ;Olovlig befattning med smuggelgods ; 88 ;. ;. ; 1 
Lag (1998:506) om punktskattekontroll av transporter m.m. av alkoholvaror, tobaksvaror och energiprodukter 5 kap. 1, 1 a-c §;Lagen om punktskattekontroll ; 127 ;- 12 ;- 9 ; 1 
Lag (1992:860) om kontroll av narkotika;Lagen om kontroll av narkotika (13 §);- ;- ;. ;- 
Alkohollag (2010:1622) 11 kap.;Alkohollagen, totalt; 998 ; 158 ; 19 ; 9 
Lag (2010:1622) 11 kap. (1 § 1 p., 2 , 4 §) Olovlig befattning med sprit genom tillverkning, inkl. grov ;Olovlig befattning med sprit genom tillverkning; 44 ;- 4 ;- 8 ; 0 
Lag (2010:1622) 11 kap.  (1 § 2 p., 4 §) Olovlig befattning med olovligt tillverkad sprit genom förvärv, innehav m.m.;Olovlig befattning med olovligt tillverkad sprit genom förvärv, innehav m.m.; 88 ;- 26 ;- 23 ; 1 
Lag (2010:1622) 11 kap.(3, 4, 6 §) Olovlig försäljning av alkohol inkl. grov, olovligt innehav av alkohol ;Olovlig försäljning av alkohol, olovligt innehav av alkohol ; 391 ; 85 ; 28 ; 4 
Lag (2010:1622) 11 kap. (5 §) Olovlig vin- och öltillverkning m.m.;Olovlig vin- och öltillverkning m.m. ; 4 ;- 4 ;- 50 ; 0 
Lag (2010:1622) 11 kap.  (7, 9 §)Olovligt anskaffande av alkohol, olovlig hantering av alkohol;Olovligt anskaffande av alkohol, olovlig hantering av alkohol ; 464 ; 116 ; 33 ; 4 
Lag (2010:1622) 11 kap.(8 §) Olovlig försäljning av teknisk sprit m.m. ;Olovlig försäljning av teknisk sprit m.m. ; 7 ;- 9 ;- 56 ; 0 
